PRODUCT_ID;CATEGORY;POPULARITY
1;4;188
2;74;342
3;49;160
4;78;339
5;72;797
6;13;295
7;30;196
8;56;628
9;49;158
10;2;682
11;42;198
12;26;497
13;17;167
14;3;179
15;5;308
16;45;193
17;8;312
18;75;186
19;5;325
20;54;344
21;12;316
22;78;173
23;61;192
24;73;198
25;13;340
26;38;315
27;38;298
28;42;192
29;17;181
30;9;508
31;3;496
32;45;477
33;57;158
34;68;436
35;55;622
36;34;180
37;39;339
38;20;188
39;14;160
40;12;178
41;37;177
42;73;161
43;33;173
44;63;172
45;33;377
46;1;159
47;67;351
48;17;333
49;52;166
50;18;201
51;16;179
52;60;173
53;17;348
54;61;178
55;10;480
56;29;446
57;45;180
58;26;301
59;73;362
60;62;611
61;1;177
62;75;693
63;10;155
64;78;519
65;76;340
66;75;170
67;16;172
68;38;174
69;53;677
70;54;185
71;64;315
72;20;302
73;79;185
74;77;350
75;2;174
76;63;301
77;64;645
78;5;173
79;34;161
80;29;180
81;0;331
82;0;333
83;76;176
84;28;649
85;56;203
86;11;324
87;77;161
88;62;176
89;1;319
90;50;174
91;20;469
92;60;184
93;18;180
94;29;326
95;39;176
96;22;361
97;8;160
98;29;356
99;10;301
100;65;175
101;61;355
102;12;314
103;11;176
104;48;191
105;16;191
106;49;316
107;47;163
108;51;331
109;10;177
110;48;344
111;37;657
112;73;341
113;41;344
114;74;172
115;62;163
116;74;512
117;18;326
118;61;341
119;60;181
120;25;293
121;2;162
122;42;162
123;19;676
124;46;177
125;33;678
126;16;451
127;35;325
128;69;452
129;69;308
130;57;162
131;46;179
132;19;641
133;44;330
134;56;561
135;58;181
136;3;162
137;67;338
138;3;314
139;19;167
140;33;157
141;40;291
142;63;322
143;18;369
144;77;316
145;29;464
146;47;332
147;8;185
148;17;166
149;37;185
150;18;352
151;39;311
152;50;331
153;64;496
154;65;505
155;16;186
156;39;511
157;33;483
158;10;181
159;26;166
160;48;478
161;16;168
162;56;370
163;29;579
164;7;461
165;23;322
166;54;177
167;54;308
168;53;349
169;29;597
170;55;317
171;19;527
172;42;476
173;65;328
174;77;325
175;59;165
176;71;338
177;51;177
178;1;304
179;42;173
180;54;305
181;35;467
182;67;500
183;32;505
184;10;161
185;23;364
186;10;572
187;33;283
188;8;322
189;8;361
190;29;362
191;31;412
192;4;463
193;60;173
194;21;480
195;76;344
196;41;316
197;4;354
198;31;188
199;4;328
200;73;168
201;51;172
202;20;315
203;57;306
204;27;333
205;39;163
206;9;370
207;3;326
208;75;323
209;2;178
210;49;511
211;23;207
212;63;171
