ORDER;PRODUCT;QTY;STATION
ORD_1;PROD_223;2;4
ORD_1;PROD_379;7;1
ORD_1;PROD_220;3;3
ORD_1;PROD_402;9;3
ORD_1;PROD_314;5;2
ORD_1;PROD_132;1;4
ORD_1;PROD_319;1;3
ORD_1;PROD_335;7;4
ORD_1;PROD_393;6;3
ORD_1;PROD_332;6;5
ORD_2;PROD_293;7;4
ORD_2;PROD_461;7;5
ORD_2;PROD_145;2;1
ORD_2;PROD_439;7;2
ORD_2;PROD_133;7;1
ORD_2;PROD_405;6;4
ORD_2;PROD_374;5;3
ORD_3;PROD_150;6;1
ORD_3;PROD_153;7;2
ORD_3;PROD_217;6;4
ORD_3;PROD_416;4;5
ORD_3;PROD_492;6;5
ORD_3;PROD_135;1;5
ORD_3;PROD_256;7;3
ORD_3;PROD_62;1;2
ORD_3;PROD_287;5;2
ORD_3;PROD_63;9;1
ORD_3;PROD_293;4;1
ORD_3;PROD_68;3;5
ORD_3;PROD_225;1;4
ORD_3;PROD_335;4;2
ORD_4;PROD_407;2;5
ORD_4;PROD_201;2;2
ORD_4;PROD_418;2;4
ORD_4;PROD_442;5;5
ORD_4;PROD_499;1;4
ORD_4;PROD_82;1;1
ORD_4;PROD_128;7;5
ORD_4;PROD_80;7;3
ORD_5;PROD_382;5;5
ORD_5;PROD_418;9;2
ORD_5;PROD_303;6;5
ORD_5;PROD_274;5;5
ORD_5;PROD_268;1;4
ORD_5;PROD_146;2;1
ORD_5;PROD_16;1;5
ORD_5;PROD_317;3;1
ORD_5;PROD_15;5;1
ORD_5;PROD_48;7;5
ORD_5;PROD_32;8;3
ORD_5;PROD_489;1;5
ORD_5;PROD_288;9;2
ORD_6;PROD_116;3;5
ORD_6;PROD_89;7;4
ORD_6;PROD_304;4;3
ORD_6;PROD_446;8;2
ORD_6;PROD_151;6;2
ORD_6;PROD_13;8;3
ORD_6;PROD_491;8;3
ORD_6;PROD_295;1;3
ORD_6;PROD_144;4;2
ORD_6;PROD_468;3;1
ORD_7;PROD_216;2;3
ORD_7;PROD_251;6;1
ORD_7;PROD_57;6;1
ORD_7;PROD_12;7;5
ORD_7;PROD_394;1;1
ORD_7;PROD_71;9;4
ORD_7;PROD_184;4;3
ORD_7;PROD_104;1;2
ORD_8;PROD_435;1;1
ORD_8;PROD_133;6;1
ORD_8;PROD_250;7;1
ORD_8;PROD_396;3;3
ORD_8;PROD_270;9;2
ORD_8;PROD_444;6;4
ORD_8;PROD_103;7;5
ORD_8;PROD_480;9;4
ORD_8;PROD_296;3;5
ORD_8;PROD_238;2;3
ORD_8;PROD_108;2;2
ORD_9;PROD_201;9;4
ORD_9;PROD_161;8;1
ORD_9;PROD_250;2;1
ORD_9;PROD_218;5;4
ORD_9;PROD_63;7;1
ORD_9;PROD_400;4;5
ORD_9;PROD_217;6;1
ORD_9;PROD_385;9;1
ORD_9;PROD_341;4;3
ORD_9;PROD_64;1;2
ORD_9;PROD_212;9;2
ORD_9;PROD_120;9;1
ORD_9;PROD_69;7;2
ORD_10;PROD_177;6;2
ORD_10;PROD_359;7;4
ORD_10;PROD_426;2;2
ORD_10;PROD_471;6;5
